;cod;lat;lon;dep;mun;alt
0;57015010;4.096;-81.609;VALLE DEL CAUCA;BUENAVENTURA;1
1;24055080;6.982972222;-73.70488889;SANTANDER;BARRANCABERMEJA;1
2;21206950;5.236055556;-73.52508333;CUNDINAMARCA;VILLAPINZÓN;2
3;21115010;3.234;-75.168;HUILA;VILLAVIEJA;4
4;21015050;1.925916667;-76.42755556;HUILA;SAN AGUSTÍN;1
5;21015070;1.675833;-76.106841;HUILA;PALESTINA;1
6;32105080;2.553;-72.647;GUAVIARE;SAN JOSÉ DEL GUAVIARE;1
7;16015110;7.898777778;-72.48716667;NORTE DE SANTANDER;CÚCUTA;3
8;11135030;8.036722222;-77.08786111;CHOCO;UNGUÍA;1
9;27015280;6.632027778;-75.64444444;ANTIOQUIA;ENTRERRIOS;3
10;21235030;4.305333333;-74.80811111;CUNDINAMARCA;GIRARDOT;3
11;26135300;4.761916667;-75.74491667;RISARALDA;PEREIRA;1
12;21215150;4.670777778;-75.32777778;TOLIMA;ANZOÁTEGUI;4
13;35075080;5.392388889;-73.56277778;BOYACÁ;VENTAQUEMADA;3
14;37015030;7.187;-72.8685;SANTANDER;TONA;3
15;17035010;15.797;-79.852;SAN ANDRÉS PROVIDENCIA;SAN ANDRÉS;3
16;28025120;10.02908333;-73.04619444;CESAR;AGUSTÍN CODAZZI;2
17;11105020;7.154;-76.977;CHOCÓ;CARMEN DEL DARIÉN  (CURBARADÓ);1
18;15085050;12.08352778;-71.21094444;LA GUAJIRA;URIBIA;1
19;21206940;4.577;-74.177;BOGOTA D.C.;BOGOTA, D.C;2
20;56019010;6.269;-77.433;CHOCÓ;BAHÍA SOLANO (MUTIS);2
21;48015040;-3.78;-70.363;AMAZONAS;PUERTO NARIÑO;1
22;24035410;5.753333333;-72.91115278;BOYACÁ;SOGAMOSO;2
23;57025020;2.963;-78.174;CAUCA;GUAPI;1
24;23195230;7.102611111;-73.10730556;SANTANDER;BUCARAMANGA;9
25;24055070;6.823388889;-73.47205556;SANTANDER;SAN VICENTE DE CHUCURÍ;1
26;54077210;3.925147222;-77.34900556;VALLE DEL CAUCA;BUENAVENTURA;1
27;46015030;2.063;-74.76269444;CAQUETA;SAN VICENTE DEL CAGUÁN;3
28;24035380;6.509111111;-72.31416667;BOYACÁ;GUICÁN;4
29;44035050;1.499722222;-75.661;CAQUETA;FLORENCIA;2
30;52045080;1.225111111;-77.28338889;NARIÑO;PASTO;2
31;31095030;3.868;-67.932;GUAINÍA;INÍRIDA;1
32;23035030;5.492861111;-74.658;CUNDINAMARCA;PUERTO SALGAR;1
33;22075050;4.075805556;-75.70083333;TOLIMA;RONCESVALLES;3
34;47035030;-0.174;-74.898;PUTUMAYO;PUERTO LEGUÍZAMO;1
35;13055040;8.746944444;-75.91388889;CORDOBA;MONTERÍA;3
36;15015120;11.22305556;-74.18591667;MAGDALENA;SANTA MARTA;7
37;35215020;5.32;-72.388;CASANARE;YOPAL;3
38;21195190;4.310111111;-74.31175;CUNDINAMARCA;PASCA;2
39;26015010;2.474833056;-76.58129361;CAUCA;POPAYÁN;1
40;35025080;4.661;-73.82733333;CUNDINAMARCA;LA CALERA;3
41;24035390;6.945388889;-72.69633333;SANTANDER;CERRITO;3
42;28035060;10.46361111;-73.24805556;CESAR;VALLEDUPAR;1
43;53045040;2.574416667;-77.89475;CAUCA;GUAPI;4
44;21197430;4.367;-74.3;CUNDINAMARCA;FUSAGASUGÁ;2
45;26085170;3.4545;-76.49972222;VALLE DEL CAUCA;CALI;9
46;51025060;1.408638889;-78.28161111;NARIÑO;BARBACOAS;5
47;21205012;4.638083333;-74.08908333;BOGOTA;BOGOTA, D.C;2
48;26155240;4.859444444;-75.38241667;CALDAS;VILLAMARIA;3
49;21195170;3.993611111;-74.39805556;CUNDINAMARCA;CABRERA;2
50;21206960;4.6;-74.06666667;BOGOTA;BOGOTA, D.C;2
51;13095010;9.383;-75.667;SUCRE;TOLÚ;1
52;21206930;5.086444444;-74.02216667;CUNDINAMARCA;ZIPAQUIRÁ;3
53;21206990;4.691416667;-74.209;CUNDINAMARCA;MOSQUERA;2
54;35035100;4.137388889;-73.625;META;VILLAVICENCIO;4
55;35185010;4.260361111;-72.56447222;META;PUERTO LÓPEZ;1
56;23085270;6.169;-75.426;ANTIOQUIA;RIONEGRO;2
57;29004520;11.00638889;-74.785;ATLANTICO;BARRANQUILLA;1
58;12015100;7.94075;-76.69616667;ANTIOQUIA;TURBO;1
59;25025030;8.295;-75.165;CÓRDOBA;AYAPEL;2
60;15065180;11.53;-72.918;LA GUAJIRA;RIOHACHA;4
61;25025340;8.596833333;-75.14269444;SUCRE;SAN MARCOS;3
62;26095320;3.834805556;-76.30000556;VALLE DEL CAUCA;BUGA;9
63;15065501;11.13758333;-72.61594444;LA GUAJIRA;ALBANIA;8
64;36015020;5.816194444;-71.41983333;CASANARE;PAZ DE ARIPORO;1
65;52055150;0.843111111;-77.38880556;NARIÑO;PUERRES;3
66;35095130;6.362;-72.282;ARAUCA;SARAVENA;4
67;26125290;4.531583333;-75.69069444;QUINDÍO;ARMENIA;1
68;26155220;5.048666667;-75.51388889;CALDAS;VILLAMARIA;1
69;48015010;-4.194;-69.941;AMAZONAS;LETICIA;1
70;17015010;12.542;-81.731;SAN ANDRÉS PROVIDENCIA;SAN ANDRÉS;1
71;11159010;8.616;-77.331;CHOCÓ;ACANDÍ;1
72;26125061;4.455;-75.766;QUINDÍO;ARMENIA;1
73;51025090;1.55;-78.696;NARINO;TUMACO;1
74;26055100;3.416055556;-76.6515;VALLE DEL CAUCA;CALI;2
75;21206600;4.782222222;-74.09433333;BOGOTA;BOGOTA, D.C;2
76;35035130;4.713666667;-73.80325;CUNDINAMARCA;GUASCA;3
77;21215180;4.418388889;-75.24866667;TOLIMA;IBAGUÉ;1
78;28025502;10.436;-73.248;CESAR;VALLEDUPAR;1
79;26055110;3.185361111;-76.56930556;VALLE DEL CAUCA;JAMUNDÍ;1
80;26145090;5.207472222;-75.90294444;RISARALDA;BELÉN DE UMBRÍA;1
81;26135290;4.929583333;-75.73838889;RISARALDA;MARSELLA;1
82;52055220;1.070611111;-77.63688889;NARIÑO;TÚQUERRES;3
83;52055210;1.16;-77.27880556;NARIÑO;PASTO;2
84;26105250;4.689777778;-75.92519444;VALLE DEL CAUCA;CARTAGO;9
85;44015060;1.157333333;-76.65183333;PUTUMAYO;MOCOA;6
86;88112901;0.0;0.0;<nil>;<nil>;6
87;15075501;12.22430556;-71.98288889;LA GUAJIRA;URIBIA;1
88;26125710;4.813;-75.74;RISARALDA;PEREIRA;1
89;35075070;5.21925;-73.35038889;BOYACÁ;CHINAVITA;2
90;25025350;9.316388889;-75.3875;SUCRE;SINCELEJO;1
91;21205791;4.706;-74.151;BOGOTA D.C.;BOGOTA, D.C;2
92;25025002;9.304;-74.274;MAGDALENA;SAN SEBASTIÁN DE BUENAVISTA;2
93;52055230;0.857;-77.678;NARIÑO;ALDANA;2
94;56125730;4.62325;-75.430961111;QUINDÍO;SALENTO;3
95;26075150;3.533;-76.382;VALLE DEL CAUCA;PALMIRA;9
96;27015310;6.32975;-75.55211111;ANTIOQUIA;BELLO;1
97;23195502;7.121;-73.185;SANTANDER;LEBRIJA;1
98;14015020;10.447;-75.516;BOLÍVAR;CARTAGENA;1
99;21205512;4.469;-74.079;BOGOTA;BOGOTA, D.C;3
100;26015030;2.356848889;-76.40354389;CAUCA;PURACÉ (COCONUCO);3
101;24035440;6.493583333;-72.311611111;BOYACÁ;GUICÁN;5
102;53075020;2.311416667;-77.25877778;CAUCA;ARGELIA;1
103;48015050;-4.193861111;-69.94091667;AMAZONAS;LETICIA;8
104;24035340;5.677;-72.968;BOYACÁ;SOGAMOSO;2
105;35075090;5.083;-73.65;CUNDINAMARCA;MACHETÁ;2
106;23195240;8.123416667;-73.57986111;CESAR;AGUACHICA;1
107;21205527;5.198;-73.805;CUNDINAMARCA;CUCUNUBÁ;1
108;21205525;5.229;-73.585;CUNDINAMARCA;VILLAPINZÓN;1
109;29035000;10.14258333;-75.27827778;BOLIVAR;ARJONA;1
110;23195040;7.145;-73.122;SANTANDER;BUCARAMANGA;1
