Codigo;Estacion;Longitud;Latitud;Ciudad;Barrio;Comuna;Corregimiento;Vereda;Fecha_Instalacion;Estado
1;Casa de Gobierno Altavista;-75.6282;6.2226;Medellin;;;70 Altavista;Altavista - Sector central;19/11/2009;Activa
2;Escuela Rural La Verde;-75.64069;6.18686;Medellin;;;80 San Antonio de Prado;La Verde;12/11/2009;Activa
3;Escuela Rural Yarumalito;-75.69426;6.23309;Medellin;;;80 San Antonio de Prado;Yarumalito;12/11/2009;Activa
4;I.E Hector Rogelio Montoya;-75.6908;6.34309;Medellin;;;50 Palmitas;Palmitas - Sector Central;26/11/2009;Activa
5;I.E Santa Elena;-75.49214;6.20621;Medellin;;;90 Santa Elena;Santa Elena Sector Central;13/11/2009;Activa
6;Casa de Cultura Las Estancias;-75.53886;6.23405;Medellin;Villatina;08 Villa Hermosa;;;17/11/2009;Inactiva
7;Escuela Republica de Cuba;-75.57721;6.29397;Medellin;La Esperanza;06 Doce Octubre;;;17/11/2009;Activa
8;Escuela CEDEPRO;-75.63624;6.21959;Medellin;;;70 Altavista;Buga - Patio Bonito;19/11/2009;Activa
9;Instituto Pedro Justo Berrio;-75.61093;6.23728;Medellin;Las Mercedes;16 Belen;;;20/11/2009;Activa
10;Escuela Rural El Boqueron;-75.65763;6.31533;Medellin;;;60 San Cristobal;Boqueron;20/11/2009;Activa
11;Escuela Rural Fabio Zuluaga;-75.65164;6.27313;Medellin;;;60 San Cristobal;La Palma;20/11/2009;Activa
12;I.E Concejo de Medellin;-75.6005;6.258;Medellin;La Floresta;12 La America;;;23/11/2009;Activa
13;I.E Maria de los Angeles Cano;-75.54472;6.29231;Medellin;Granizal;01 Popular;;;14/12/2009;Inactiva
14;Escuela El Triunfo ;-75.58491;6.30634;Medellin;El Triunfo;06 Doce Octubre;;;23/11/2009;Activa
15;Colegio San Lucas ;-75.56653;6.181;Medellin;San Lucas;14 El Poblado;;;17/12/2009;Activa
16;I.E Ramon Munera Lopera;-75.54344;6.26977;Medellin;El Raizal;03 Manrique;;;14/12/2009;Activa
17;Escuela El Corazon ;-75.62977;6.24723;Medellin;El Corazon;13 San Javier;;;28/01/2010;Activa
18;Escuela El Salado;-75.67103;6.21113;Medellin;;;80 San Antonio de Prado;El Salado;14/01/2010;Activa
19;Tecnologico Antioquia;-75.60374;6.17832;Itagüí;Las Americas-Zona Industrial No. 1;;;;14/01/2010;Activa
20;Fundacion Hogares Claret;-75.61133;6.29411;Medellin;;;60 San Cristobal;Pajarito;18/01/2010;Activa
21;Escuela Rural San Jose de la Montana;-75.63913;6.30408;Medellin;;;60 San Cristobal;San Jose de la Montana;18/01/2010;Activa
22;Escuela La Capilla del Rosario ;-75.60204;6.20519;Medellin;Belen Rincon;16 Belen;;;28/01/2010;Activa
23;Instituto Jorge Robledo;-75.58113;6.25827;Medellin;Carlos E. Restrepo;11 Laureles - Estadio;;;18/01/2010;Activa
24;I.E Republica de Uruguay;-75.5769;6.28369;Medellin;Alfonso Lopez;05 Castilla;;;22/01/2010;Activa
25;Escuela Rural Astilleros;-75.66688;6.23977;Medellin;;;80 San Antonio de Prado;El Astillero;12/03/2010;Activa
26;Escuela Rural El Plan;-75.51729;6.20526;Medellin;;;90 Santa Elena;El Plan;22/01/2010;Activa
27;Centro de Salud San Javier La Loma;-75.63112;6.27189;Medellin;;;60 San Cristobal;La Loma;25/01/2010;Activa
28;Liceo Salazar y Herrera;-75.60583;6.24867;Medellin;La America;12 La America;;;25/01/2010;Activa
29;Escuela Marina Orth;-75.64377;6.23231;Medellin;;;70 Altavista;Aguas Frias;25/01/2010;Activa
30;Salon Social Barbosa;-75.33045;6.43687;Barbosa;Centro;;;;29/01/2010;Activa
31;Colegio Jose Manuel Sierra;-75.44583;6.37583;Girardota;Calle Bolivar;;;;29/01/2010;Activa
32;Colegio Presbitero Bernardo Montoya ;-75.49858;6.35398;Copacabana;La Maria;;;;29/01/2010;Activa
33;Santa Maria Goretti;-75.63747;6.09446;Caldas;La Docena;;;;1/02/2010;Activa
34;I.E La Doctora;-75.61315;6.14144;Sabaneta;Vegas de la Doctora;;;;2/02/2010;Activa
35;I.E Joaquin Vallejo Arbelaez ;-75.54273;6.25513;Medellin;La Ladera;08 Villa Hermosa;;;28/04/2010;Activa
36;Colegio Concejo de Itagui;-75.6438;6.16793;Itagüí;Ditaires;Comuna 03;;;27/03/2010;Activa
37;Liceo Fernando Velez;-75.5678;6.33755;Bello;El Carmelo;Comuna 05;;;2/02/2010;Activa
38;Casa Cultura La Estrella;-75.64447;6.15553;La Estrella;La Chinca;;;;5/02/2010;Inactiva
39;I.E Pedro Octavio Amado;-75.61056;6.22179;Medellin;Altavista;16 Belen;;;30/04/2010;Activa
40;I.E Ciro Mendia;-75.55587;6.29009;Medellin;Moscu No1;02 Santa Cruz;;;12/02/2010;Activa
41;Comisaria El Poblado;-75.56616;6.20661;Medellin;La Florida;14 El Poblado;;;24/03/2010;Activa
42;Escuela Rural Piedras Gordas;-75.49844;6.23614;Medellin;;;90 Santa Elena;Piedra Gorda;24/03/2010;Activa
43;Escuela Rural Quebrada Larga;-75.68567;6.20558;Medellin;;;80 San Antonio de Prado;Yarumalito;3/01/2011;Activa
44;I.E Villa Turbay;-75.53024;6.23563;Medellin;Villa Turbay;08 Villa Hermosa;;;28/04/2010;Activa
45;AMVA;-75.57414;6.24215;Medellin;Calle Nueva;10 La Candelaria;;;31/08/2010;Activa
46;I.E La Milagrosa ;-75.55426;6.23506;Medellin;La Milagrosa;09 Buenos Aires;;;30/04/2010;Activa
47;Villa Nueva Sede La Luz;-75.49659;6.38852;Copacabana;;;;Zarzal La Luz;4/03/2011;Activa
48;Escuela Rural Santa Angela;-75.59467;6.30446;Medellin;;;60 San Cristobal;El Carmelo;14/05/2010;Activa
49;Colegio Latino (Av. Las Palmas);-75.5459;6.21217;Medellin;;;90 Santa Elena;Las Palmas;12/03/2011;Activa
50;Universidad CES (Sabaneta);-75.60475;6.15787;Sabaneta;Virgen del Carmen;;;;12/03/2011;Activa
51;Represa La Garcia ;-75.6002;6.3619;Bello;;;San Felix;La Primavera;4/03/2011;Activa
52;Centro Veterinario y de Zootecnia CES;-75.56175;6.14496;Envigado;;;;Perico;10/03/2011;Activa
53;Colegio Eduardo Santos;-75.62938;6.25865;Medellin;Eduardo Santos;13 San Javier;;;24/03/2011;Activa
54;I.E Juan Maria Cespedes;-75.59716;6.23529;Medellin;El Nogal - Los Almendros;16 Belen;;;6/05/2011;Activa
55;I.E Reino de Belgica;-75.54001;6.28466;Medellin;Maria Cano Carambolas;03 Manrique;;;23/03/2011;Activa
56;I.E Inem Jose Felix de Restrepo Sede Santa Catalina ;-75.56096;6.19978;Medellin;El Tesoro;14 El Poblado;;;25/03/2011;Activa
57;Escuela la Clara;-75.61859;6.04202;Caldas;;;;La Clara;23/03/2012;Activa
58;Escuela Luis Javier Garcia Isaza;-75.6243;6.04777;Caldas;;;;La Salada Parte Baja;23/03/2012;Activa
59;ISAGEN;-75.55897;6.21394;Medellin;Las Lomas No2;14 El Poblado;;;12/04/2013;Activa
60;Torre SIATA;-75.5887;6.2592;Medellin;Estadio;11 Laureles - Estadio;;;7/03/2012;Activa
61;Planta de Agua Bocatoma;-75.64306;6.11986;La Estrella;;;;San Miguel;20/03/2012;Activa
62;Gimnasio Cantabria;-75.64413;6.13718;La Estrella;;;;Pueblo Viejo;3/03/2012;Activa
63;Las Flores;-75.45019;6.24809;Guarne;;;;San Jose;7/04/2012;Activa
64;Ecoparque La Romera;-75.59793;6.11981;Sabaneta;;;;La Doctora;29/08/2012;Activa
65;I.E Las Lomitas;-75.60128;6.14311;Sabaneta;;;;Las Lomitas;9/03/2012;Activa
66;I.E San Andres (Sede El Socorro);-75.45212;6.41035;Girardota;;;;El Socorro;9/05/2012;Activa
67;I.E Juan Echeverry Abad;-75.61478;6.18535;Itagüí;;;;El Pedregal;16/03/2012;Activa
68;Jardin Botanico;-75.56291;6.26925;Medellin;;04 Aranjuez;;;1/02/2013;Activa
69;Parque Biblioteca Espana;-75.54402;6.29499;Medellin;Santo Domingo Savio No. 1;01 Popular;;;20/03/2013;Inactiva
70;Indural Km6 Medellin-Bogota;-75.52297;6.32645;Copacabana;;;;Rodas;25/06/2012;Activa
71;CEFA;-75.56181;6.24641;Medellin;Boston;10 La Candelaria;;;28/02/2013;Activa
72;Jose Miguel de Restrepo;-75.51014;6.37739;Copacabana;;;;La Veta;25/06/2012;Activa
73;Ciudadela Educativa La Vida;-75.50472;6.34534;Copacabana;Cristo Rey;;;Cabuyal;24/05/2013;Activa
74;Edificio Gaspar de Rodas - Bello;-75.55855;6.33546;Bello;Centro;Comuna 04;;;27/05/2013;Activa
75;Institucion Educativa Rural El Tambo;-75.59311;6.43103;San Pedro;;;;El Tambo;4/06/2013;Activa
76;I.E. Fontidueno;-75.53774;6.33411;Bello;Fontidueno;Comuna 10;;;2/07/2013;Activa
77;Torre SIATA - Disdrometro;-75.5887;6.2592;Medellin;Estadio;11 Laureles - Estadio;;;3/04/2013;Activa
78;Parque 3 Aguas - Disdrometro;-75.63536;6.09628;Caldas;;;;La Miel;30/01/2014;Activa
79;Subestacion Santa Rosa de Osos - Disdrometro;-75.45786;6.63889;Santa Rosa de Osos;Avenida crespo;;;;16/07/2015;Activa
80;Vivero EPM Piedras Blancas - Disdrometro;-75.49397;6.28328;Guarne;;;;Piedras Blancas;23/07/2013;Activa
81;Bomberos Guayabal;-75.58697;6.21522;Medellin;Campo Amor;15 Guayabal;;;28/06/2013;Activa
82;I.E Manuel Jose Caicedo;-75.32722;6.43498;Barbosa;Aguas Calientes;;;;3/07/2013;Activa
83;Centro de Salud San Javier La Loma - Meteorologica;-75.63112;6.27189;Medellin;;;60 San Cristobal;La Loma;11/07/2013;Activa
84;Escuela CEDEPRO;-75.63624;6.21959;Medellin;;;70 Altavista;Buga - Patio Bonito;22/07/2013;Inactiva
86;Pajarito;-75.58864;6.25922;Medellin;Estadio;11 Laureles - Estadio;;;;Inactiva
88;CUIDA Juan Cojo;-75.45097;6.35678;Girardota;;;;Juan Cojo;7/11/2013;Activa
89;I.E Pedro Nel;-75.56778;6.31137;Medellin;Florencia;05 Castilla;;;13/11/2013;Activa
90;Colegio Campestre el Encanto;-75.66127;6.19537;Medellin;;;80 San Antonio de Prado;El Salado;3/12/2013;Activa
91;Estacion Metro Sabaneta;-75.61672;6.15753;Sabaneta;El Carmelo;;;;14/03/2014;Activa
92;Altavista;-75.61602;6.22185;Medellin;;;70 Altavista;Altavista;17/08/2012;Activa
93;Puente 33;-75.5775;6.2396;Medellín;Perpetuo Socorro;10 La Candelaria;;;8/05/2012;Activa
94;Puente de la Aguacatala;-75.58156;6.19533;Medellin;Guayabal;15 Guayabal;;;21/06/2012;Activa
95;Parque Lleras (Inmobiliaria Lleras);-75.5684;6.2074;Medellin;Parque Lleras;14 El Poblado;;;21/06/2012;Inactiva
96;La Gomez;-75.59295;6.27399;Medellin;Robledo;07 Robledo;;;3/11/2011;Inactiva
97;Parque de las Aguas-Nivel;-75.4186;6.4054;Barbosa;;;;Filo Verde;19/10/2011;Inactiva
98;Estacion Metro Floresta;-75.59743;6.25859;Medellin;El Estadio;11 Laureles - Estadio;;;30/09/2011;Activa
99;Aula Ambiental;-75.57253;6.26411;Medellín;El Chagualo;10 La Candelaria;;;19/07/2011;Activa
100;Emergencia Metro;-75.58864;6.25922;Medellin;Estadio;11 Laureles - Estadio;;;1/01/1999;Inactiva
101;Parque lineal de la presidenta;-75.56938;6.20772;Medellin;El Poblado;14 El Poblado;;;30/08/2019;Activa
102;Caldas-Unidad Deportiva;-75.63305;6.08825;Caldas;La Docena;;;;23/12/2013;Inactiva
103;Parque del Artista  Itagui;-75.60361;6.1778;Itagui;;;;;27/12/2013;Inactiva
104;Quebrada La Zuniga;-75.57951;6.18493;Medellin;Santa Maria de los Angeles;14 El Poblado;;;30/08/2019;Activa
105;Parque 3 Aguas;-75.63536;6.09628;Caldas;;;;La Miel;16/01/2014;Activa
106;3 Aguas - Nivel;-75.63536;6.09602;Caldas;La Inmaculada;;;;16/01/2014;Activa
107;Fundacion Hogares Claret - Humedad;-75.61122;6.29498;Medellin;;;60 San Cristobal;Pajarito;7/11/2014;Activa
108;Santa Rita - San Antonio de Prado;-75.6515;6.19057;Medellin;;;80 San Antonio de Prado;La Verde;10/03/2014;Activa
109;La Doctora - Sabaneta;-75.61651;6.14556;Sabaneta;Vegas de la Doctora;;;;11/03/2014;Activa
110;Q. La Iguana;-75.60525;6.27612;Medellin;Fuente Clara;07 Robledo;;;11/04/2014;Inactiva
111;Q. Santa Elena;-75.554;6.2435;Medellin;Sucre;08 Villa Hermosa;;;8/04/2014;Inactiva
112;Cantera Cimax - Humedad;-75.54628;6.31123;Bello;Santa Rita;Bello Comuna 11;;Granizal;28/08/2014;Inactiva
115;Q. Ayura;-75.58061;6.17044;Envigado;Los Naranjos;;;;10/07/2014;Inactiva
116;Q. Picacha;-75.58503;6.24214;Medellin;Conquistadores;11 Laureles - Estadio;;;13/07/2014;Inactiva
117;Q. Chachafruto;-75.5737;6.3732;Bello;;;;Vereda Tierra Adentro;26/08/2015;Inactiva
118;Colegio Waldorf Isolda Echavarria;-75.64743;6.15926;La Estrella;Horizontes;;;San Jose;28/03/2014;Inactiva
120;Caldas-Unidad Deportiva;-75.63305;6.08825;Caldas;La Docena;;;;24/11/2014;Inactiva
121;I.E Barrio Paris;-75.58156;6.31375;Bello;Paris;Comuna 01;;;26/11/2014;Activa
122;Tasajera;-75.43522;6.4245;Barbosa;;;;El Tigre;5/12/2014;Activa
123;Q. La Iguana;-75.60525;6.27612;Medellin;Fuente Clara;07 Robledo;;;15/01/2015;Inactiva
124;Caldas-Unidad Deportiva;-75.63305;6.08825;Caldas;La Docena;;;;28/01/2015;Activa
125;Cedro Verde - Humedad;-75.54473;6.15922;Medellin;;;;Santa Catalina;1/01/1999;Inactiva
126;Puente de Machado;-75.53783;6.336;Bello;Machado;Comuna 10;;;7/04/2015;Inactiva
127;I.E. Manuel Jose Sierra - Sede la Holanda;-75.48325;6.41933;Girardota;;;;La Holanda- parte alta;7/04/2015;Activa
128;La Garcia;-75.56572;6.34378;Bello;Playa Rica;Comuna 06;;;16/04/2015;Activa
129;Colegio Divino Salvador;-75.54839;6.23708;Medellin;Miraflores;09 Buenos Aires;;;23/04/2015;Activa
130;El Hato;-75.55853;6.3295;Bello;Puerto Bello;;;;23/04/2015;Inactiva
131;Parque de las aguas - Disdrometro;-75.41947;6.40626;Barbosa;;;;Filo Verde;28/04/2015;Inactiva
132;Puente de Machado;-75.53783;6.336;Bello;Fontidueno;Comuna 8;;;28/04/2015;Inactiva
133;Vereda el perico - Humedad;-75.50711;6.19133;Envigado;;;;El Vallano;8/05/2015;Inactiva
134;Q. La Madera - Nivel;-75.57003;6.3109;Bello;Barrio Nuevo;Comuna 02;;;8/05/2015;Activa
135;Q. La loca - Nivel;-75.56089;6.32375;Bello;San Jose Obrero;Comuna 02;;;21/05/2015;Activa
136;Salgar Puente Hospital - Nivel;-75.98033;5.96486;Salgar;;;;;22/05/2015;Inactiva
136;Salgar Puente Hospital;-75.9802;5.9648;Salgar;;;;;22/05/2015;Inactiva
137;Vereda Liboriana - Nivel;-76.03139;5.95706;Salgar;;;;Vereda Liboriana;23/05/2015;Inactiva
138;Vereda Liboriana;-76.0315;5.95706;Salgar;;;;Vereda Liboriana;23/05/2015;Inactiva
139;Santa Rita Guatape - Disdrometro;-75.17269;6.31756;Guatape;;;;Santa Rita;28/05/2015;Activa
140;Puente Fundadores Copacabana;-75.49881;6.35805;Copacabana;La Maria;;;;12/06/2015;Activa
141;Finca El Canalon Deslizamiento;-75.60794;6.12931;Sabaneta;;;;La Doctora;23/06/2015;Inactiva
142;Finca El Canalon Corona;-75.60789;6.12917;Sabaneta;;;;La Doctora ;23/06/2015;Inactiva
143;Q. La Doctora Aguas Arriba;-75.60903;6.13553;Sabaneta;;;;La Doctora;24/06/2015;Activa
144;Q. El Canalon;-75.60778;6.13403;Sabaneta;;;;La Doctora;24/06/2015;Inactiva
145;Q. La Sabanetica;-75.62283;6.14736;Sabaneta;Prados de Sabaneta;;;;3/07/2015;Activa
146;Club del adulto mayor - Sabaneta;-75.62225;6.14731;Sabaneta;Prados de Sabaneta;;;;21/07/2015;Activa
147;Bocatoma el viento - nivel;-75.31006;6.41392;Barbosa;;;;Ventanas;22/07/2015;Inactiva
148;Bocatoma las despensas;-75.67608;6.19;Medellin;;;80 San Antonio de Prado;Montanita;24/07/2015;Inactiva
150;Canada Negra - Nivel;-75.55056;6.30669;Bello;Santa Rita;Comuna 11;;;5/08/2015;Activa
151;Seminario Redemptoris Mater;-75.53711;6.22415;Medellin;;;90 Santa Elena;Las Palmas;18/08/2015;Inactiva
152;Q. Ana Diaz;-75.60944;6.24603;Medellin;Barrio Cristobal;12 La America;;;24/08/2015;Activa
153;Bocatoma la Cascada;-75.51181;6.22706;Medellin;;;90 Santa Elena;Vereda Media Luna;3/09/2015;Inactiva
154;Centro de desarrollo infantil pequenos exploradores;-75.54792;6.30964;Bello;Santa Rita;Comuna 11;;;17/09/2015;Activa
155;El Hato;-75.55851;6.3295;Bello;Puerto Bello;Comuna 04;;;23/09/2015;Activa
156;Carmen de Viboral - Disdrometro;-75.30506;6.0855;El Carmen de Viboral;;;;Viboral;24/09/2015;Inactiva
157;Aula Ambiental - Velocidad Superficial;-75.57253;6.26411;Medellin;El Chagualo;07 Robledo;;;1/10/2015;Inactiva
158;Q. La Rosa;-75.55533;6.28919;Medellin;Moscu No1;01 Popular;;;7/10/2015;Activa
159;Samana - Disdrometro;-74.99511;5.44064;Samana;;;;La Palma;24/09/2015;Activa
160;Samana - Pluviometro;-74.99511;5.44064;Samana;;;;La Palma;16/10/2015;Activa
161;Q. La Chocha;-75.64628;6.15362;La Estrella;Chile;;;;23/11/2015;Activa
162;Q. El Tablazo;-75.61275;6.18111;Itagui;El Progreso;;;;23/11/2015;Inactiva
163;Q. La Munoz;-75.62545;6.16687;Itagui;;;;;20/11/2015;Inactiva
164;Planta de potabilizacion de barbosa;-75.32492;6.43003;Barbosa;;;;;7/01/2016;Inactiva
165;Santa Rosa de Osos - Pluvio;-75.45786;6.63889;Santa Rosa de Osos;Avenida crespo;;;;1/03/2016;Activa
166;Q. El Chocho;-75.63149;6.2232;Medellin;;;70 Altavista;Altavista - Sector Central;2/02/2016;Activa
167;Ancon Sur;-75.62672;6.153;Medellin;Zona Industrial;;;;10/01/2016;Inactiva
168;Santa Rita Guatape - Pluvio;-75.17269;6.31756;Guatape;;;;Santa Rita;29/02/2016;Activa
169;Rio Medellin - La Clara;-75.61976;6.04869;Caldas;;;;La Clara;11/02/2016;Activa
170;Metro Poblado - Nivel;-75.5781;6.21287;Medellin;Patio Bonito;14 El Poblado;;;2/04/2016;Inactiva
171;Escombrera Mocatan - Pluvio;-75.63083;6.05973;Caldas;;;;La Clara;29/02/2016;Activa
172;Escombrera Mocatan - Nivel;-75.62875;6.06063;Caldas;;;;La Clara;1/04/2016;Inactiva
173;Q. Picacha - Aguas Frias;-75.63967;6.23148;Medellin;;;70 Altavista;Aguas Frias;28/09/2015;Activa
174;Q. La Sanin;-75.5461;6.203;Medellin;;;90 Santa Elena;Las Palmas;11/05/2016;Inactiva
174;Q. La Sanin;-75.5461;6.203;Medellin;;;90 Santa Elena;Las Palmas;11/05/2016;Inactiva
175;Q. La Honda - C. Bravo M.;-75.55728;6.2661;Medellin;Manrique Central No. 1;4 Aranjuez;;;13/05/2016;Inactiva
176;Altavista - Velocidad Superficial;-75.61586;6.22187;Medellin;;;70 Altavista;Altavista;10/06/2016;Inactiva
177;3 Aguas - Velocidad Superficial;-75.63526;6.09602;Caldas;;;;La Miel;10/06/2016;Inactiva
178;Q. La Honda - C. Bravo M.;-75.55728;6.2661;Medellin;Manrique Central No. 1;4 Aranjuez;;;13/05/2016;Inactiva
179;La Inmaculada - Nivel;-75.63359;6.1367;La Estrella;;;;Pan de Azucar;23/09/2016;Activa
181;Q. La grande - Vivero Ancon Sur;-75.63517;6.15051;La Estrella;;;;Pueblo Viejo;23/11/2016;Activa
182;Q. Santa Elena;-75.55387;6.24315;Medellin;Caicedo;09 Buenos Aires;;;25/11/2016;Activa
183;Q. la Ayura - Ecoparque el Salado;-75.56922;6.13868;Envigado;;;;Pantanillo;20/12/2016;Activa
184;Miraflores;-75.54918;6.23002;Medellin;Cataluna;09 Buenos Aires;;;17/01/2017;Activa
185;Puente de los Fundadores - Velocidad Superficial;-75.49882;6.35804;Copacabana;;;;;10/02/2017;Inactiva
186;Q. La Gallinaza;-75.32771;6.43292;Barbosa;;;;Buenos Aires;7/04/2017;Activa
187;Q. La Sanin - Nivel;-75.5461;6.203;Medellin;;;90 Santa Elena;Las Palmas;27/06/2017;Activa
188;Humedad La Sanin;-75.5461;6.203;Medellin;;;90 Santa Elena;Las Palmas;25/06/2017;Activa
189;Q. La Sanin - Pluviografica;-75.5461;6.203;Medellin;;;90 Santa Elena;Las Palmas;14/07/2017;Activa
190;El Santuario - Pluvio;-75.27438;6.13384;El Santuario;;;;El Saladito;15/07/2017;Activa
191;El Santuario - Disdrometro;-75.27438;6.13384;El Santuario;;;;El Saladito;15/07/2017;Activa
192;Q. Dona Ana - Nivel;-75.61044;6.13909;Sabaneta;;;;La Doctora;19/07/2017;Inactiva
193;Fuente Clara - Pluviometro;-75.61284;6.13266;Sabaneta;;;;La Doctora;18/07/2017;Activa
194;Cocorna - Pluvio;-75.21106;6.07951;Cocorna;;;;Mediacuesta;24/07/2017;Activa
195;La Ceja - Nivel;-75.42863;6.02957;La Ceja;Cabecera;;;;1/08/2017;Activa
196;Rionegro - Nivel;-75.36133;6.17863;Rionegro;;;;La Laja;30/08/2017;Inactiva
197;Universidad de Medellin - Meteorologica;-75.60996;6.23018;Medellin;Las Violetas;16 Belen;;;16/08/2017;Activa
198;Politecnico Jaime Isaza Cadavid - Meteorologica;-75.57777;6.20898;Medellin;Patio Bonito;14 El Poblado;;;10/08/2017;Activa
199;Rionegro - Thies;-75.369;6.16629;Rionegro;;;;La Laja;28/08/2017;Activa
201;Torre SIATA;-75.5887;6.2592;Medellin;Estadio;11 Laureles - Estadio;;;28/12/2012;Activa
202;AMVA;-75.5743;6.24215;Medellin;Calle Nueva;10 La Candelaria;;;30/10/2012;Activa
203;UNAL-Sede Agronomia;-75.5778;6.26075;Medellin;La Iguana;07 Robledo;;;30/10/2012;Activa
204;Parque de las Aguas;-75.41947;6.40626;Barbosa;;;;Vereda Filo Verde;23/11/2012;Inactiva
205;Santa Elena-Radar;-75.5276;6.1935;Medellin;;;90 Santa Elena;El Plan;1/11/2012;Inactiva
206;Colegio Concejo de Itagui;-75.6438;6.16793;Itagui;Ditaires;;;;6/11/2012;Activa
207;Vivero EPM Piedras Blancas;-75.49397;6.28328;Guarne;;;;Piedras Blancas;25/02/2013;Activa
210;Telemedellin-Poblado;-75.57581;6.18699;Medellin;El Diamante No. 2;14 El Poblado;;;7/12/2012;Inactiva
211;La Ladera;-75.55403;6.25119;Medellin;La Ladera;08 Villa Hermosa;;;10/12/2012;Activa
213;Ciudadela del Valle Itagui;-75.60175;6.18697;Itagui;;;70 Altavista;Los Gomez;1/01/1999;Inactiva
227;Sonson - Pluvio;-75.30937;5.71597;Sonson;Centro;;;;29/08/2017;Activa
228;Sonson - Disdrometro;-75.30937;5.71597;Sonson;Sector Central;;;;29/08/2017;Activa
229;Alcaldia La Estrella - Thies;-75.64162;6.15814;La Estrella;El Dorado;;;;31/08/2017;Activa
230;Alcaldia La Estrella - Pluvio;-75.64162;6.15814;La Estrella;El Dorado;;;;30/08/2017;Activa
231;Alcaldia La Estrella - Disdrometro;-75.64162;6.15814;La Estrella;El Dorado;;;;30/08/2017;Activa
233;I.E Manuel Jose Caicedo - Disdrometro;-75.32722;6.43498;Barbosa;Aguas Calientes;;;;18/09/2017;Activa
234;I.E Manuel Jose Caicedo - Pluviometro;-75.32722;6.43498;Barbosa;Aguas Calientes;;;;18/09/2017;Activa
235;Quebrada Larga - Humedad;-75.68551;6.20552;Medellin;;;80 San Antonio de Prado;Yarumalito;18/09/2017;Activa
236;Q. Dona Maria;-75.59789;6.18104;Itagüí;Santa Maria No. 2;;;;19/09/2017;Activa
237;Astilleros - Humedad;-75.66688;6.23977;Medellin;;;80 San Antonio de Prado;El Astillero;21/09/2017;Inactiva
238;Q. La Iguana - Nivel;-75.60538;6.27622;Medellin;Fuente Clara;07 Robledo;;;25/09/2017;Activa
